Species,functional_group
African Darter,Piscivore
African Fish Eagle,Piscivore
African grey hornbill,Omnivore
African hawk eagle,Carnivore
African Jacana,Carnivore
African openbill,Carnivore
African Stonechat,Insectivore
African swamphen,Omnivore
Barn Swallow,Insectivore
Bateleur,Carnivore
Black Cormorant,Carnivore
Black Crake,Omnivore
Black Heron,Piscivore
Blacksmith Lapwing,Carnivore
Blackwinged Stilt,Carnivore
Burchell's starling,Omnivore
Cape turtle-dove,Omnivore
Cape wagtail,Insectivore
Cattle Egret,Carnivore
Coppery-Tailed Coucal,Carnivore
Egyptian Goose,Herbivore
Emerald-spotted Wood Dove,Omnivore
Fork-Tailed Drongo,Insectivore
Gabar Goshawk,Carnivore
Glossy Ibis,Carnivore
Goliath Heron,Piscivore
Great cormorant,Piscivore
Great Egret,Piscivore
Great reed warbler,Insectivore
Grey go-away bird,Omnivore
Grey Heron,Piscivore
Ground hornbill,Carnivore
Hadada Ibis,Carnivore
Hamerkop,Carnivore
Harrier,Carnivore
Hooded vulture,Carnivore
Ibis,Carnivore
Intermediate Egret,Carnivore
Lesser Striped Swallow,Insectivore
Lilac-breasted Roller,Carnivore
Little Bee-Eater,Insectivore
Little Egret,Carnivore
Long-Toed Lapwing,Insectivore
Malachite Kingfisher,Piscivore
Meves's Starling,Omnivore
Oxpecker,Carnivore
Pallid Harrier,Carnivore
Pied Kingfisher,Piscivore
Red-eyed dove,Omnivore
Ring-necked dove,Omnivore
Rufous-bellied heron,Carnivore
Sacred Ibis,Carnivore
Saddle-Billed Stork,Carnivore
Senegal Coucal,Carnivore
Slaty Egret,Carnivore
Southern Masked Weaver,Omnivore
Spur-Winged Goose,Herbivore
Squacco Heron,Carnivore
Swift,Insectivore
Water thick-knee,Carnivore
Wattled Crane,Omnivore
White-Backed Vulture,Carnivore
White-breasted cormorant,Carnivore
Wire-tailed swallow,Insectivore
Yellow-Billed Stork,Piscivore
African palm swift,Insectivore
African reed warbler,Insectivore
Arnots chat,Insectivore
Ashy flycatcher,Insectivore
Banded martin,Insectivore
Black flycatcher,Insectivore
Blue waxbill,Omnivore
Brown-snake eagle,Carnivore
Brubru,Insectivore
Buffalo weaver,Omnivore
Capped wheatear,Insectivore
Chinspot batis,Insectivore
Common moorehen,Omnivore
Cape starling,Herbivore
Great white pelican,Piscivore
Greater striped swallow,Omnivore
Greenwood hoopoe,Insectivore
Laughing dove,Omnivore
Magpie shrike,Omnivore
Marsh harrier,Carnivore
Meyers parrot,Herbivore
Mourning collared dove,Herbivore
Namaqua dove,Herbivore
Greater painted-snipe,Omnivore
Prinia,Insectivore
Quelea,Insectivore
Rattling cisticola,Insectivore
Red-billed hornbill,Omnivore
Redbilled quelea,Herbivore
Southern black tit,Insectivore
Striped kingfisher,Insectivore
Tinkling cisticola,Insectivore
Yellow-billed egret,Omnivore
Yellow-billed hornbill,Omnivore
Yellow-billed oxpecker,Insectivore
